,1+1+1+1+1+1+1+1+1+1,2+1+1+1+1+1+1+1+1,2+2+1+1+1+1+1+1,2+2+2+1+1+1+1,2+2+2+2+1+1,2+2+2+2+2,3+1+1+1+1+1+1+1,3+2+1+1+1+1+1,3+2+2+1+1+1,3+2+2+2+1,3+3+1+1+1+1,3+3+2+1+1,3+3+2+2,3+3+3+1,4+1+1+1+1+1+1,4+2+1+1+1+1,4+2+2+1+1,4+2+2+2,4+3+1+1+1,4+3+2+1,4+3+3,4+4+1+1,4+4+2,5+1+1+1+1+1,5+2+1+1+1,5+2+2+1,5+3+1+1,5+3+2,5+4+1,5+5,6+1+1+1+1,6+2+1+1,6+2+2,6+3+1,6+4,7+1+1+1,7+2+1,7+3,8+1+1,8+2,9+1,10
10,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,1,-1,-1,1,-1,1,-1,-1,1,1,-1,1,-1,1,1,-1
9+1,9,-7,5,-3,1,1,6,-4,2,0,3,-1,-1,0,-5,3,-1,-1,-2,0,1,1,1,4,-2,0,1,1,0,-1,-3,1,1,0,-1,2,0,-1,-1,-1,0,1
8+2,35,-21,11,-5,3,-5,14,-6,2,-2,2,0,2,-1,-9,3,-1,3,0,0,0,-1,-1,5,-1,1,-1,-1,1,0,-2,0,-2,1,0,0,0,0,1,1,-1,0
7+3,75,-35,15,-7,3,5,15,-5,3,-1,0,-2,0,3,-5,1,-1,-3,1,1,-2,-1,1,0,0,0,0,0,0,0,2,0,2,-1,0,-2,0,1,1,-1,0,0
6+4,90,-34,14,-6,2,-10,6,-4,2,0,3,-1,-1,0,4,0,0,4,-2,0,1,2,-2,-5,1,-1,1,1,-1,0,3,-1,-1,0,1,-1,1,-1,0,0,0,0
5+5,42,-14,6,-2,2,10,0,-2,0,-2,3,1,3,-3,4,0,0,-4,-2,0,1,2,2,-3,1,1,0,-2,-1,2,1,-1,1,1,-1,0,0,0,0,0,0,0
8+1+1,36,-20,8,0,-4,4,15,-5,-1,3,3,1,-1,0,-10,2,2,-2,-1,-1,-1,0,0,6,0,-2,0,0,0,1,-3,-1,1,0,1,1,1,1,0,0,0,-1
7+2+1,160,-64,16,0,0,0,34,-4,-2,0,-2,2,-2,-2,-16,0,0,0,2,0,2,0,0,5,1,1,-1,1,-1,0,0,0,0,0,0,-1,-1,-1,0,0,1,0
6+3+1,315,-91,19,-3,-5,5,21,-1,1,3,-3,-1,1,0,1,-1,1,-1,1,-1,1,-1,1,-5,-1,-1,1,-1,1,0,3,1,-1,0,-1,0,0,0,-1,1,0,0
5+4+1,288,-64,16,0,0,0,-6,-4,-2,0,6,2,-2,0,16,0,0,0,-2,0,-2,0,0,-7,1,1,-1,1,1,-2,0,0,0,0,0,1,-1,1,0,0,0,0
6+2+2,225,-55,5,-3,9,-15,15,5,-1,-3,-6,2,2,0,-5,-1,-1,3,1,-1,-2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,-1,0,0
5+3+2,450,-70,10,-6,2,10,-15,5,1,-3,-3,-1,1,0,10,-2,2,-2,1,1,1,-2,-2,0,0,0,0,0,0,0,-3,-1,1,0,1,2,0,-1,0,0,0,0
4+4+2,252,-28,8,0,4,-20,-21,-1,-1,3,3,-1,-1,0,10,-2,-2,2,1,1,1,0,0,2,2,-2,-1,-1,0,2,-3,1,1,0,-1,0,0,0,0,0,0,0
4+3+3,210,-14,6,-2,-6,10,-21,1,3,1,0,-2,0,3,4,-4,0,0,1,-1,-2,2,2,5,1,1,-1,1,-1,0,-2,0,-2,1,0,0,0,0,0,0,0,0
7+1+1+1,84,-28,0,8,-4,-4,21,-1,-3,-1,3,-1,3,3,-10,-2,2,2,-1,1,-1,0,0,4,2,0,1,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,1
6+2+1+1,350,-70,-10,10,-2,10,35,5,-1,1,-1,-1,-1,-1,-10,-2,-2,-2,-1,1,-1,2,-2,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,-1,0
5+3+1+1,567,-63,-9,9,-9,-15,0,0,0,0,0,0,0,0,9,3,1,3,0,0,0,-1,1,-3,-3,1,0,0,-1,2,0,0,0,0,0,0,0,0,1,-1,0,0
4+4+1+1,300,-20,0,8,4,20,-15,-5,-3,-1,3,1,3,3,10,2,-2,-2,1,-1,1,0,0,0,0,0,0,0,0,0,-1,1,-1,-1,1,-1,1,-1,0,0,0,0
5+2+2+1,525,-35,-15,-7,5,5,0,10,0,2,-3,1,-3,3,-5,3,-1,-1,-2,0,1,1,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,1,1,0,0
4+3+2+1,768,0,0,0,0,0,-48,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,-2,0,0,0,0,0,-2,0,1,0,0,0,0
3+3+3+1,210,14,6,2,-6,-10,-21,-1,3,-1,0,2,0,3,-4,-4,0,0,-1,-1,2,2,-2,5,-1,1,-1,-1,1,0,2,0,2,-1,0,0,0,0,0,0,0,0
4+2+2+2,300,20,0,-8,4,-20,-15,5,-3,1,3,-1,3,3,-10,2,2,-2,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,-1,-1,-1,0,0,0,0
3+3+2+2,252,28,8,0,4,20,-21,1,-1,-3,3,1,-1,0,-10,-2,2,2,-1,1,-1,0,0,2,-2,-2,-1,1,0,2,3,1,-1,0,-1,0,0,0,0,0,0,0
6+1+1+1+1,126,-14,-14,6,6,-6,21,1,1,-3,6,-2,-2,0,-4,-4,0,0,-1,-1,2,-2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-1
5+2+1+1+1,448,0,-32,0,0,0,28,0,4,0,4,0,4,-2,0,0,0,0,0,0,0,0,0,-2,0,-2,-2,0,0,-2,0,0,0,0,0,0,0,0,0,0,1,0
4+3+1+1+1,525,35,-15,7,5,-5,0,-10,0,-2,-3,-1,-3,3,5,3,1,-1,2,0,-1,1,-1,0,0,0,0,0,0,0,1,-1,1,1,-1,0,0,0,-1,1,0,0
4+2+2+1+1,567,63,-9,-9,-9,15,0,0,0,0,0,0,0,0,-9,3,-1,3,0,0,0,-1,-1,-3,3,1,0,0,1,2,0,0,0,0,0,0,0,0,-1,-1,0,0
3+3+2+1+1,450,70,10,6,2,-10,-15,-5,1,3,-3,1,1,0,-10,-2,-2,-2,-1,1,-1,-2,2,0,0,0,0,0,0,0,3,-1,-1,0,1,2,0,-1,0,0,0,0
3+2+2+2+1,288,64,16,0,0,0,-6,4,-2,0,6,-2,-2,0,-16,0,0,0,2,0,2,0,0,-7,-1,1,-1,-1,-1,-2,0,0,0,0,0,1,1,1,0,0,0,0
2+2+2+2+2,42,14,6,2,2,-10,0,2,0,2,3,-1,3,-3,-4,0,0,-4,2,0,-1,2,-2,-3,-1,1,0,2,1,2,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
5+1+1+1+1+1,126,14,-14,-6,6,6,21,-1,1,3,6,2,-2,0,4,-4,0,0,1,-1,-2,-2,-2,1,-1,1,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,1
4+2+1+1+1+1,350,70,-10,-10,-2,-10,35,-5,-1,-1,-1,1,-1,-1,10,-2,2,-2,1,1,1,2,2,0,0,0,0,0,0,0,-1,1,-1,-1,1,0,0,0,0,0,-1,0
3+3+1+1+1+1,225,55,5,3,9,15,15,-5,-1,3,-6,-2,2,0,5,-1,1,3,-1,-1,2,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,-1,0,0
3+2+2+1+1+1,315,91,19,3,-5,-5,21,1,1,-3,-3,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-5,1,-1,1,1,-1,0,-3,1,1,0,-1,0,0,0,1,1,0,0
2+2+2+2+1+1,90,34,14,6,2,10,6,4,2,0,3,1,-1,0,-4,0,0,4,2,0,-1,2,2,-5,-1,-1,1,-1,1,0,-3,-1,1,0,1,-1,-1,-1,0,0,0,0
4+1+1+1+1+1+1,84,28,0,-8,-4,4,21,1,-3,1,3,1,3,3,10,-2,-2,2,1,1,1,0,0,4,-2,0,1,1,0,-1,1,-1,1,1,-1,0,0,0,0,0,0,-1
3+2+1+1+1+1+1,160,64,16,0,0,0,34,4,-2,0,-2,-2,-2,-2,16,0,0,0,-2,0,-2,0,0,5,-1,1,-1,-1,1,0,0,0,0,0,0,-1,1,-1,0,0,1,0
2+2+2+1+1+1+1,75,35,15,7,3,-5,15,5,3,1,0,2,0,3,5,1,1,-3,-1,1,2,-1,-1,0,0,0,0,0,0,0,-2,0,-2,1,0,-2,0,1,-1,-1,0,0
3+1+1+1+1+1+1+1,36,20,8,0,-4,-4,15,5,-1,-3,3,-1,-1,0,10,2,-2,-2,1,-1,1,0,0,6,0,-2,0,0,0,1,3,-1,-1,0,1,1,-1,1,0,0,0,1
2+2+1+1+1+1+1+1,35,21,11,5,3,5,14,6,2,2,2,0,2,-1,9,3,1,3,0,0,0,-1,1,5,1,1,-1,1,-1,0,2,0,2,-1,0,0,0,0,-1,1,-1,0
2+1+1+1+1+1+1+1+1,9,7,5,3,1,-1,6,4,2,0,3,1,-1,0,5,3,1,-1,2,0,-1,1,-1,4,2,0,1,-1,0,-1,3,1,-1,0,-1,2,0,-1,1,-1,0,-1
1+1+1+1+1+1+1+1+1+1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
